x,s,v,rho_over_rho0
1.096856697217582196e-06,3.899247843571843685e-06,-4.733215801511604148e+00,9.999999999990288879e-01
1.105278270575750296e-06,3.929185940170573626e-06,-4.733215801511569509e+00,9.999999999990031307e-01
1.113764504065004506e-06,3.959353898953981021e-06,-4.733215801511533982e+00,9.999999999989772625e-01
1.122315894140390512e-06,3.989753484784580084e-06,-4.733215801511498455e+00,9.999999999989513944e-01
1.130932941068688023e-06,4.020386476075325097e-06,-4.733215801511461152e+00,9.999999999989247490e-01
1.139616148957685083e-06,4.051254664893685346e-06,-4.733215801511423848e+00,9.999999999988975485e-01
1.148366025785666243e-06,4.082359857066471380e-06,-4.733215801511386545e+00,9.999999999988694599e-01
1.157183083431129238e-06,4.113703872285474416e-06,-4.733215801511347465e+00,9.999999999988413713e-01
1.166067837702737762e-06,4.145288544213948548e-06,-4.733215801511308385e+00,9.999999999988125055e-01
1.175020808369485157e-06,4.177115720593836645e-06,-4.733215801511268417e+00,9.999999999987829735e-01
1.184042519191108195e-06,4.209187263353894109e-06,-4.733215801511227561e+00,9.999999999987533306e-01
1.193133497948725735e-06,4.241505048718603758e-06,-4.733215801511185816e+00,9.999999999987227994e-01
1.202294276475721974e-06,4.274070967317964849e-06,-4.733215801511144072e+00,9.999999999986920463e-01
1.211525390688846318e-06,4.306886924298050360e-06,-4.733215801511101439e+00,9.999999999986608490e-01
1.220827380619574352e-06,4.339954839432492619e-06,-4.733215801511057030e+00,9.999999999986292076e-01
1.230200790445697300e-06,4.373276647234783778e-06,-4.733215801511012621e+00,9.999999999985966781e-01
1.239646168523155430e-06,4.406854297071437721e-06,-4.733215801510968213e+00,9.999999999985634824e-01
1.249164067418127471e-06,4.440689753276071006e-06,-4.733215801510921139e+00,9.999999999985297316e-01
1.258755043939340899e-06,4.474784995264257986e-06,-4.733215801510874954e+00,9.999999999984957588e-01
1.268419659170656233e-06,4.509142017649366805e-06,-4.733215801510826992e+00,9.999999999984608978e-01
1.278158478503886179e-06,4.543762830359233945e-06,-4.733215801510778142e+00,9.999999999984252597e-01
1.287972071671882422e-06,4.578649458753779841e-06,-4.733215801510729293e+00,9.999999999983892884e-01
1.297861012781848383e-06,4.613803943743435938e-06,-4.733215801510678666e+00,9.999999999983528731e-01
1.307825880348938256e-06,4.649228341908584812e-06,-4.733215801510628040e+00,9.999999999983153476e-01
1.317867257330095976e-06,4.684924725619859174e-06,-4.733215801510576526e+00,9.999999999982777110e-01
1.327985731158157827e-06,4.720895183159370074e-06,-4.733215801510523235e+00,9.999999999982388532e-01
1.338181893776227366e-06,4.757141818842910038e-06,-4.733215801510469944e+00,9.999999999981992183e-01
1.348456341672289422e-06,4.793666753143004087e-06,-4.733215801510415766e+00,9.999999999981598053e-01
1.358809675914116542e-06,4.830472122812994131e-06,-4.733215801510359810e+00,9.999999999981187271e-01
1.369242502184425934e-06,4.867560081012028002e-06,-4.733215801510302967e+00,9.999999999980779819e-01
1.379755430816323987e-06,4.904932797431053058e-06,-4.733215801510245235e+00,9.999999999980363485e-01
1.390349076828995158e-06,4.942592458419694104e-06,-4.733215801510188392e+00,9.999999999979933829e-01
1.401024059963691766e-06,4.980541267114194320e-06,-4.733215801510127996e+00,9.999999999979498622e-01
1.411781004719987847e-06,5.018781443566292181e-06,-4.733215801510067600e+00,9.999999999979058973e-01
1.422620540392308937e-06,5.057315224873081763e-06,-4.733215801510006315e+00,9.999999999978611553e-01
1.433543301106760000e-06,5.096144865307936939e-06,-4.733215801509944143e+00,9.999999999978151921e-01
1.444549925858203241e-06,5.135272636452319867e-06,-4.733215801509881082e+00,9.999999999977690068e-01
1.455641058547652490e-06,5.174700827328711798e-06,-4.733215801509816245e+00,9.999999999977220444e-01
1.466817348019936525e-06,5.214431744534506120e-06,-4.733215801509750520e+00,9.999999999976739717e-01
1.478079448101669650e-06,5.254467712376992367e-06,-4.733215801509684795e+00,9.999999999976254550e-01
1.489428017639482105e-06,5.294811073009258432e-06,-4.733215801509616405e+00,9.999999999975761611e-01
1.500863720538576161e-06,5.335464186567259967e-06,-4.733215801509548015e+00,9.999999999975255349e-01
1.512387225801562575e-06,5.376429431307878294e-06,-4.733215801509478737e+00,9.999999999974746867e-01
1.523999207567594790e-06,5.417709203748037936e-06,-4.733215801509406795e+00,9.999999999974226172e-01
1.535700345151819063e-06,5.459305918804953253e-06,-4.733215801509334852e+00,9.999999999973696596e-01
1.547491323085096719e-06,5.501222009937334764e-06,-4.733215801509261134e+00,9.999999999973157028e-01
1.559372831154062236e-06,5.543459929287797407e-06,-4.733215801509186527e+00,9.999999999972617459e-01
1.571345564441471879e-06,5.586022147826286934e-06,-4.733215801509110143e+00,9.999999999972057907e-01
