Xi,fb_core,eta,f_r,f_rho,eps,converged,nodes,method,valid
0.01,0.0,5.0,0.9883381957165728,1.0145596280234217,-0.6345653514629375,1,0,direct,1
0.01,0.05,0.1,0.9411876948227458,1.0856911433772876,-0.6126515989456933,1,0,direct,1
0.01,0.05,0.3,0.9543333297356271,1.076239164349216,-0.6231933073919951,1,0,direct,1
0.01,0.05,0.5,0.960390008525961,1.073186026939116,-0.6311369534839694,1,0,direct,1
0.01,0.05,1.0,0.964473330634963,1.079645011920938,-0.6534390065325686,1,0,direct,1
0.01,0.05,1.5,0.9639315635485737,1.0932525089182081,-0.6902342589561696,1,0,direct,1
0.01,0.05,2.0,0.9625725854300214,1.1072175775832862,-0.7467522247553998,1,0,direct,1
0.01,0.05,5.0,0.9577042736974278,1.1518063033842665,-1.5233008642199688,1,0,direct,1
0.01,0.1,0.1,0.8947112686362632,1.1654803437311956,-0.5925177193712405,1,0,direct,1
0.01,0.1,0.3,0.9214514526946372,1.1436551016588137,-0.6134647785479108,1,0,direct,1
0.01,0.1,0.5,0.9335832355349363,1.1363605988044327,-0.6294720527433934,1,0,direct,1
0.01,0.1,1.0,0.9419224946838625,1.1485946152026774,-0.6752427355803617,1,0,direct,1
0.01,0.1,1.5,0.9412403763601308,1.17543727069327,-0.7510232090991561,1,0,direct,1
0.01,0.1,2.0,0.9390107272869839,1.202321196928604,-0.8668548027665585,1,0,direct,1
0.01,0.1,5.0,0.9313204916179894,1.281266180679485,-2.432966500404173,1,0,direct,1
0.01,0.15,0.1,0.8494138326086528,1.2552086223181769,-0.5743105620997345,1,0,direct,1
0.01,0.15,0.3,0.889820497934378,1.2173378006761992,-0.6054797248776569,1,0,direct,1
0.01,0.15,0.5,0.9079448505063055,1.2043386187764527,-0.6296446057588918,1,0,direct,1
0.01,0.15,1.0,0.9206251295544101,1.2213377943668133,-0.6999710190057122,1,0,direct,1
0.01,0.15,1.5,0.9201272321380898,1.260736527724764,-0.8166542920801602,1,0,direct,1
0.01,0.15,2.0,0.9174096718942546,1.2993135544910637,-0.9939996278812958,1,0,direct,1
0.01,0.15,5.0,0.9082011208156775,1.4054087214821216,-3.357219980131651,1,0,direct,1
0.01,0.2,0.1,0.8057468904228153,1.356336781523566,-0.5581868410658885,1,0,direct,1
0.01,0.2,0.3,0.8595432965799921,1.2978316666555405,-0.599336851235665,1,0,direct,1
0.01,0.2,0.5,0.8834927090998004,1.2773585612769405,-0.6317210647755863,1,0,direct,1
0.01,0.2,1.0,0.9005270623690624,1.2977709285690575,-0.7275926810879516,1,0,direct,1
0.01,0.2,1.5,0.9004707625914471,1.3487837322071436,-0.8868214915011724,1,0,direct,1
0.01,0.2,2.0,0.8975519281830953,1.3977381453974809,-1.1273818614527145,1,0,direct,1
0.01,0.2,5.0,0.8876715391295084,1.525491344333757,-4.292338530230186,1,0,direct,1
0.01,0.3,0.1,0.7247053321091748,1.5995760777917278,-0.5328534232692616,1,0,direct,1
0.01,0.3,0.3,0.8032899947405908,1.4814906841652402,-0.5929531177689559,1,0,direct,1
0.01,0.3,0.5,0.8380958630629606,1.439357291607832,-0.6418039883458141,1,0,direct,1
0.01,0.3,1.0,0.8636668531874132,1.4611380086757362,-0.7912794493758183,1,0,direct,1
0.01,0.3,1.5,0.8650401622693225,1.5317495578212237,-1.0394945317711213,1,0,direct,1
0.01,0.3,2.0,0.8623175379841231,1.5974622766224917,-1.4100567698579145,1,0,direct,1
0.01,0.3,5.0,0.8525666322577867,1.7562644474256728,-6.186225697519003,1,0,direct,1
0.01,0.4,0.1,0.653404231930713,1.9106095279360087,-0.5178700689562271,1,0,direct,1
0.01,0.4,0.3,0.7528679848670562,1.6990234601577585,-0.5949925975519197,1,0,direct,1
0.01,0.4,0.5,0.7972167887798914,1.6237062695318838,-0.6600438519109396,1,0,direct,1
0.01,0.4,1.0,0.8308242504257791,1.6373475881387392,-0.8656548501860211,1,0,direct,1
0.01,0.4,1.5,0.8340687706668045,1.7218685958283382,-1.2065642389566926,1,0,direct,1
0.01,0.4,2.0,0.8320216167306664,1.799294865951218,-1.7100995303592204,1,0,direct,1
0.01,0.4,5.0,0.823392262488023,1.9772575508887522,-8.102602234964387,1,0,direct,1
0.01,0.5,0.1,0.592166863713003,2.3073489669788656,-0.5145184632827751,1,0,direct,1
0.01,0.5,0.3,0.7080880826124181,1.9544118857486972,-0.6059680211168829,1,0,direct,1
0.01,0.5,0.5,0.7605419971739861,1.8311696078622712,-0.6865651913115789,1,0,direct,1
0.01,0.5,1.0,0.8015061162421623,1.8248544170342424,-0.9498748306552445,1,0,direct,1
